SubjectLabel,SubjectID,DirectionCount,Method,MethodLabel,Metric,MetricLabel,Value_dB
P0354,354,50,MCARv351,MCAR v3.5.1,ContralateralHighFrequency,Contralateral HF,3.7018540273116
P0354,354,50,MCARv351,MCAR v3.5.1,HorizontalILDMAE,Horizontal ILD MAE,0.55055392254115
P0354,354,50,FSPAE,FSP-AE,FullSphereERB,Full-sphere ERB,2.04740736907344
P0354,354,50,FSPAE,FSP-AE,Contralateral25ERB,Contralateral 25-deg ERB,2.1179315976091
P0354,354,50,FSPAE,FSP-AE,ContralateralHighFrequency,Contralateral HF,4.1010554307835
P0354,354,50,FSPAE,FSP-AE,HorizontalILDMAE,Horizontal ILD MAE,0.889011944857491
P0354,354,50,RANF,RANF,FullSphereERB,Full-sphere ERB,0.971221348619178
P0354,354,50,RANF,RANF,Contralateral25ERB,Contralateral 25-deg ERB,1.33768287646185
P0354,354,50,RANF,RANF,ContralateralHighFrequency,Contralateral HF,3.49936128957031
P0354,354,50,RANF,RANF,HorizontalILDMAE,Horizontal ILD MAE,0.500765092331886
P0354,354,50,HYBRID,Hybrid E190,FullSphereERB,Full-sphere ERB,0.830571133965539
P0354,354,50,HYBRID,Hybrid E190,Contralateral25ERB,Contralateral 25-deg ERB,1.32626712924802
P0354,354,50,HYBRID,Hybrid E190,ContralateralHighFrequency,Contralateral HF,3.79543840834227
P0354,354,50,HYBRID,Hybrid E190,HorizontalILDMAE,Horizontal ILD MAE,0.506479889611656
P0354,354,50,BOUNDED,Bounded E25,FullSphereERB,Full-sphere ERB,0.821846663071653
P0354,354,50,BOUNDED,Bounded E25,Contralateral25ERB,Contralateral 25-deg ERB,1.32960719616201
P0354,354,50,BOUNDED,Bounded E25,ContralateralHighFrequency,Contralateral HF,3.78624132568704
P0354,354,50,BOUNDED,Bounded E25,HorizontalILDMAE,Horizontal ILD MAE,0.497361798493478
P0360,360,14,SHOnly,SH only,FullSphereERB,Full-sphere ERB,2.68312701611818
P0360,360,14,SHOnly,SH only,Contralateral25ERB,Contralateral 25-deg ERB,5.7303887504855
P0360,360,14,SHOnly,SH only,ContralateralHighFrequency,Contralateral HF,10.1362613975607
P0360,360,14,SHOnly,SH only,HorizontalILDMAE,Horizontal ILD MAE,4.07535161436859
P0360,360,14,SUpDEqSH,SUpDEq + SH,FullSphereERB,Full-sphere ERB,1.8163187821587
P0360,360,14,SUpDEqSH,SUpDEq + SH,Contralateral25ERB,Contralateral 25-deg ERB,2.58680691780051
P0360,360,14,SUpDEqSH,SUpDEq + SH,ContralateralHighFrequency,Contralateral HF,6.54384991953451
P0360,360,14,SUpDEqSH,SUpDEq + SH,HorizontalILDMAE,Horizontal ILD MAE,1.66815733514174
P0360,360,14,SUpDEqNN,SUpDEq + Natural Neighbor,FullSphereERB,Full-sphere ERB,1.70937320390129
P0360,360,14,SUpDEqNN,SUpDEq + Natural Neighbor,Contralateral25ERB,Contralateral 25-deg ERB,2.40223242193408
P0360,360,14,SUpDEqNN,SUpDEq + Natural Neighbor,ContralateralHighFrequency,Contralateral HF,5.92188693234405
P0360,360,14,SUpDEqNN,SUpDEq + Natural Neighbor,HorizontalILDMAE,Horizontal ILD MAE,1.5740860746456
P0360,360,14,SUpDEqBary,SUpDEq + Barycentric,FullSphereERB,Full-sphere ERB,1.61347331425986
P0360,360,14,SUpDEqBary,SUpDEq + Barycentric,Contralateral25ERB,Contralateral 25-deg ERB,2.39147615261914
P0360,360,14,SUpDEqBary,SUpDEq + Barycentric,ContralateralHighFrequency,Contralateral HF,5.63677317091231
P0360,360,14,SUpDEqBary,SUpDEq + Barycentric,HorizontalILDMAE,Horizontal ILD MAE,1.36668930993567
P0360,360,14,MCA,MCA,FullSphereERB,Full-sphere ERB,1.19866346933056
P0360,360,14,MCA,MCA,Contralateral25ERB,Contralateral 25-deg ERB,2.02317036837121
P0360,360,14,MCA,MCA,ContralateralHighFrequency,Contralateral HF,4.90583811251282
P0360,360,14,MCA,MCA,HorizontalILDMAE,Horizontal ILD MAE,0.825941187426076
